id_city;city;id_hotel;name_hotel;region;star_rating;num_reviews;hotel_features;hotel_category;price;url_image
1;Bandung;74;Grand Tjokro Premiere Bandung;Cihampelas, Bandung;4.0;15901.0;Olahraga air, Aerobik, Restoran show cooking, Dapur kecil, Teras rooftop, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar;;1751482;https://storage.googleapis.com/picture-bucket19/hotel/74.jpg
1;Bandung;48;Four Points by Sheraton Bandung;Dago, Bandung;4.0;2190.0;Area main anak, Klub anak, Sewa mobil, Pusat kebugaran, Bar di kolam renang, Bar;;2226400;https://storage.googleapis.com/picture-bucket19/hotel/48.jpg
1;Bandung;20;Aryaduta Bandung;Merdeka, Bandung;4.0;8395.0;Area main anak, Antar-jemput bandara;;2019852;https://storage.googleapis.com/picture-bucket19/hotel/20.jpg
1;Bandung;90;Hilton Bandung;Pasirkaliki, Bandung;5.0;3130.0;Bar, Sewa mobil, Pusat kebugaran, Antar-jemput bandara, Aksesibel bagi penyandang disabilitas, Bar;;3065333;https://storage.googleapis.com/picture-bucket19/hotel/90.jpg
1;Bandung;202;THE 1O1 Bandung Dago;Dago, Bandung;4.0;12553.0;Bersepeda atau bersepeda gunung, Layanan pijat, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar;;1755000;https://storage.googleapis.com/picture-bucket19/hotel/202.jpg
1;Bandung;179;Serela Merdeka by KAGUM Hotels;Dago, Bandung;3.0;6149.0;Penitipan anak, Layanan pijat, Antar-jemput bandara, Check-out ekspress, Spa;;996667;https://storage.googleapis.com/picture-bucket19/hotel/179.jpg
1;Bandung;28;Banana Inn by KAGUM Hotels;Setiabudi, Bandung;4.0;6267.0;Aerobik, Bar, Pengering pakaian, Teras rooftop, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar;;1033500;https://storage.googleapis.com/picture-bucket19/hotel/28.jpg
1;Bandung;158;POP! Hotel Festival Citylink - Bandung;Pasir Koja, Bandung;2.0;9679.0;Bayar saat Check-in, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Spa, Pusat kebugaran;;592000;https://storage.googleapis.com/picture-bucket19/hotel/158.jpg
1;Bandung;46;Easton Park Apartment Jatinangor by Diajeng;Jatinangor, Bandung;0.0;682.0;Ruang santai, Area main anak, Limosin/mobil, Check-out ekspress, Pusat kebugaran;;281500;https://storage.googleapis.com/picture-bucket19/hotel/46.jpg
1;Bandung;42;Dago Heuvel Resort and Villa;Mekarsaluyu, Bandung;2.0;591.0;Pemancingan, Bilyar, Aktivitas outdoor, Jacuzzi, Area piknik;;3968800;https://storage.googleapis.com/picture-bucket19/hotel/42.jpg
1;Bandung;201;Swiss-Belresort Dago Heritage Bandung;Dago Atas, Bandung;4.0;6225.0;Golf, Klub anak, Dapur kecil, Pusat kebugaran, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar;;3583950;https://storage.googleapis.com/picture-bucket19/hotel/201.jpg
1;Bandung;77;Grandia Hotel Bandung;Cihampelas, Bandung;4.0;9709.0;Bar, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Spa, Bar;;2270400;https://storage.googleapis.com/picture-bucket19/hotel/77.jpg
1;Bandung;224;V Hotel & Residence;Pasteur, Bandung;3.0;14648.0;Layanan pijat, Pusat kebugaran, Antar-jemput bandara, Spa, Pusat kebugaran;;699000;https://storage.googleapis.com/picture-bucket19/hotel/224.jpg
1;Bandung;126;InterContinental Hotels BANDUNG DAGO PAKAR;Mekarsaluyu, Bandung;5.0;4140.0;Tennis;;5180328;https://storage.googleapis.com/picture-bucket19/hotel/126.jpg
1;Bandung;111;Hotel Dafam Rio;Jalan Riau, Bandung;3.0;3536.0;Jemputan stasiun kereta, Layanan pijat, Spa;;836841;https://storage.googleapis.com/picture-bucket19/hotel/111.jpg
1;Bandung;89;Hemangini Hotel Bandung;Setiabudi, Bandung;4.0;5488.0;Aksesibel bagi penyandang disabilitas;;2037037;https://storage.googleapis.com/picture-bucket19/hotel/89.jpg
