id_city,city,id_hotel,name_hotel,region,star_rating,num_reviews,hotel_features,price
1,Bandung,201,Swiss-Belresort Dago Heritage Bandung,"Dago Atas, Bandung",4.0,6225.0,"Golf, Klub anak, Dapur kecil, Pusat kebugaran, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",3583950
1,Bandung,77,Grandia Hotel Bandung,"Cihampelas, Bandung",4.0,9709.0,"Bar, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Spa, Bar",2270400
1,Bandung,224,V Hotel & Residence,"Pasteur, Bandung",3.0,14648.0,"Layanan pijat, Pusat kebugaran, Antar-jemput bandara, Spa, Pusat kebugaran",699000
1,Bandung,126,InterContinental Hotels BANDUNG DAGO PAKAR,"Mekarsaluyu, Bandung",5.0,4140.0,Tennis,5180328
1,Bandung,111,Hotel Dafam Rio,"Jalan Riau, Bandung",3.0,3536.0,"Jemputan stasiun kereta, Layanan pijat, Spa",836841
1,Bandung,89,Hemangini Hotel Bandung,"Setiabudi, Bandung",4.0,5488.0,Aksesibel bagi penyandang disabilitas,2037037
1,Bandung,132,Kedaton Hotel,"Sumurbandung, Bandung",3.0,5277.0,"Karaoke, Layanan pijat, Mandi uap, Pusat kebugaran, Antar-jemput bandara, Sauna, Spa",1481481
1,Bandung,176,Sari Ater Kamboti Hotel Bandung,"Pasteur, Bandung",4.0,5865.0,"Bayar saat Check-in, Karaoke, Pusat kebugaran, Bilyar, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran, Bar",1037276
1,Bandung,236,d'primahotel Bandung,"Sukajadi, Bandung",3.0,6503.0,Antar-jemput bandara,4160000
1,Bandung,235,Zest Hotel Sukajadi Bandung,"Sukajadi, Bandung",3.0,7151.0,"Layanan pijat, Aksesibel bagi penyandang disabilitas, Spa",861555
1,Bandung,177,Sensa Hotel Bandung,"Cihampelas, Bandung",4.0,3133.0,Spa,1654667
1,Bandung,242,ibis Bandung Pasteur,"Pasteur, Bandung",3.0,5186.0,Check-out ekspress,923319
1,Bandung,37,Clove Garden Hotel & Residence,"Dago, Bandung",4.0,14893.0,Aksesibel bagi penyandang disabilitas,2135300
1,Bandung,190,"Sukajadi Hotel, Convention and Gallery","Sukajadi, Bandung",3.0,4836.0,"Tenda di tepi kolam, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Kursi berjemur tepi kolam, Pusat kebugaran",846667
1,Bandung,43,De Paviljoen Bandung,"Jalan Riau, Bandung",4.0,4384.0,"Pengering pakaian, Dapur kecil, Pusat kebugaran",2000000
1,Bandung,35,Cinnamon Hotel Boutique Syariah,"Setiabudi, Bandung",4.0,1616.0,Check-out ekspress,2868772
1,Bandung,72,Grand Sunshine Resort and Convention,"Pamekaran, Bandung",4.0,1131.0,"Badminton, Aerobik, Bar, Tennis, Bilyar, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",3400000
2,Jakarta,196,Swiss-Belinn Kemayoran,"Kemayoran, Jakarta",3.0,3549.0,"Bayar saat Check-in, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Spa, Pusat kebugaran, Bar",822500
2,Jakarta,142,Mandarin Oriental Jakarta,"Thamrin, Jakarta",5.0,1140.0,"Winery, Pusat kebugaran, Fasilitas bisnis, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Pusat kebugaran, Bar",8518400
2,Jakarta,9,Aloft Jakarta Wahid Hasyim,"Kebon Sirih, Jakarta",4.0,1002.0,"Limosin/mobil, Pusat kebugaran, Bilyar, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",1863400
2,Jakarta,23,Ashley Tanah Abang,"Tanah Abang, Jakarta",0.0,275.0,"Pusat kebugaran, Antar-jemput bandara, Pusat kebugaran",1940888
2,Jakarta,84,Hariston Hotel & Suites,"Pluit, Jakarta",4.0,4297.0,Bar,1428500
2,Jakarta,220,The St. Regis Jakarta,"Kuningan, Jakarta",5.0,2.0,"Tenda di tepi kolam, Paket proposal romantis, Bar di kolam renang, Payung pantai, Spa, Pusat kebugaran, Bar, OTHER",8772500
2,Jakarta,19,Arimbi Pejaten Suites,"Ragunan, Jakarta",3.0,2234.0,"Bayar saat Check-in, Pusat kebugaran, Pusat kebugaran",437000
2,Jakarta,73,Grand Tjokro Jakarta,"Tanjung Duren, Jakarta",4.0,7868.0,"Sewa mobil, Pusat kebugaran, Spa, Bar",1083333
2,Jakarta,222,The Sultan Hotel & Residence Jakarta,"Senayan, Jakarta",5.0,7247.0,"Bayar saat Check-in, Restoran show cooking, Winery, Dapur kecil, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",2391767
2,Jakarta,183,Shangri-La Jakarta,"Karet Tengsin, Jakarta",5.0,2262.0,"Akses ke water park, Toko/pusat belanja, Lapangan tennis outdoor, Bar di kolam renang, Payung pantai, Pusat kebugaran, Bar, OTHER",5320178
2,Jakarta,172,Royal Kuningan Hotel,"Rasuna Said, Jakarta",4.0,6678.0,"Aksesibel bagi penyandang disabilitas, Check-out ekspress",3078126
2,Jakarta,138,Lumire Hotel & Convention Center,"Senen, Jakarta",4.0,8924.0,"Layanan pijat, Pusat kebugaran, Bilyar, Aksesibel bagi penyandang disabilitas, Sauna, Check-out ekspress, Pusat kebugaran, Bar",1016667
2,Jakarta,203,Teraskita Hotel Jakarta managed by Dafam,"Cawang, Jakarta",4.0,9335.0,"Restoran show cooking, Layanan pijat, Antar-jemput bandara, Aksesibel bagi penyandang disabilitas, Spa, Bar",1940000
2,Jakarta,151,Millennium Hotel Sirih Jakarta,"Tanah Abang, Jakarta",4.0,4969.0,"Transportasi ke pusat perbelanjaan, Sewa mobil, Aksesibel bagi penyandang disabilitas",1143853
2,Jakarta,186,Sheraton Grand Jakarta Gandaria City Hotel,"Kebayoran Lama Utara, Jakarta",5.0,1579.0,"Restoran show cooking, Winery, Sewa mobil, Fasilitas bisnis, Antar-jemput bandara, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",3319433
