id_city,city,id_hotel,name_hotel,region,star_rating,num_reviews,hotel_features,price,matched_name,displayName,latitude,longitude
1,Bandung,74,Grand Tjokro Premiere Bandung,"Cihampelas, Bandung",4.0,15901.0,"Olahraga air, Aerobik, Restoran show cooking, Dapur kecil, Teras rooftop, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",1751482,Grand Tjokro Premiere Bandung,Grand Tjokro Premiere Bandung,-6.886302,107.603845
1,Bandung,48,Four Points by Sheraton Bandung,"Dago, Bandung",4.0,2190.0,"Area main anak, Klub anak, Sewa mobil, Pusat kebugaran, Bar di kolam renang, Bar",2226400,Four Points by Sheraton Bandung,Four Points by Sheraton Bandung,-6.901574999999999,107.61215800000002
1,Bandung,20,Aryaduta Bandung,"Merdeka, Bandung",4.0,8395.0,"Area main anak, Antar-jemput bandara",2019852,Aryaduta Bandung,Aryaduta Bandung,-6.907893,107.611662
1,Bandung,90,Hilton Bandung,"Pasirkaliki, Bandung",5.0,3130.0,"Bar, Sewa mobil, Pusat kebugaran, Antar-jemput bandara, Aksesibel bagi penyandang disabilitas, Bar",3065333,Hilton Bandung,Hilton Bandung,-6.912836,107.597623
1,Bandung,202,THE 1O1 Bandung Dago,"Dago, Bandung",4.0,12553.0,"Bersepeda atau bersepeda gunung, Layanan pijat, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",1755000,THE 1O1 Bandung Dago,THE 1O1 Bandung Dago,-6.9063411,107.61021099999994
1,Bandung,179,Serela Merdeka by KAGUM Hotels,"Dago, Bandung",3.0,6149.0,"Penitipan anak, Layanan pijat, Antar-jemput bandara, Check-out ekspress, Spa",996667,Serela Merdeka by KAGUM Hotels,Serela Merdeka by KAGUM Hotels,-6.906646200000001,107.6090011
1,Bandung,28,Banana Inn by KAGUM Hotels,"Setiabudi, Bandung",4.0,6267.0,"Aerobik, Bar, Pengering pakaian, Teras rooftop, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",1033500,Banana Inn by KAGUM Hotels,Banana Inn by KAGUM Hotels,-6.866921,107.59368
1,Bandung,158,POP! Hotel Festival Citylink - Bandung,"Pasir Koja, Bandung",2.0,9679.0,"Bayar saat Check-in, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Spa, Pusat kebugaran",592000,POP! Hotel Festival Citylink - Bandung,POP! Hotel Festival Citylink - Bandung,-6.929565,107.585973
1,Bandung,46,Easton Park Apartment Jatinangor by Diajeng,"Jatinangor, Bandung",0.0,682.0,"Ruang santai, Area main anak, Limosin/mobil, Check-out ekspress, Pusat kebugaran",281500,Easton Park Apartment Jatinangor by Diajeng,Easton Park Apartment Jatinangor by Diajeng,-6.9364236,107.76518599999996
1,Bandung,42,Dago Heuvel Resort and Villa,"Mekarsaluyu, Bandung",2.0,591.0,"Pemancingan, Bilyar, Aktivitas outdoor, Jacuzzi, Area piknik",3968800,Dago Heuvel Resort and Villa,Dago Heuvel Resort and Villa,-6.859359176017268,107.6436917908768
1,Bandung,201,Swiss-Belresort Dago Heritage Bandung,"Dago Atas, Bandung",4.0,6225.0,"Golf, Klub anak, Dapur kecil, Pusat kebugaran, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",3583950,Swiss-Belresort Dago Heritage Bandung,Swiss-Belresort Dago Heritage Bandung,-6.8669056,107.6252879
1,Bandung,77,Grandia Hotel Bandung,"Cihampelas, Bandung",4.0,9709.0,"Bar, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Spa, Bar",2270400,Grandia Hotel Bandung,Grandia Hotel Bandung,-6.900855,107.604483
1,Bandung,224,V Hotel & Residence,"Pasteur, Bandung",3.0,14648.0,"Layanan pijat, Pusat kebugaran, Antar-jemput bandara, Spa, Pusat kebugaran",699000,V Hotel & Residence,V Hotel & Residence,-6.881761,107.584433
